成语,常用度分数
在所不辞,51.3
闭关自守,51.2
苍松翠柏,51.2
雕玉双联,51.2
蛾眉皓齿,51.2
横戈跃马,51.2
欢欣若狂,51.2
借古讽今,51.2
令人莫测,51.2
扪虱而谈,51.2
拟于不伦,51.2
弄性尚气,51.2
起根发由,51.2
虱处裈中,51.2
添油加醋,51.2
铁面御史,51.2
投畀豺虎,51.2
推心置腹,51.2
完美无疵,51.2
下不为例,51.2
言为心声,51.2
摇旗呐喊,51.2
倚强凌弱,51.2
北门锁钥,51.1
戴天履地,51.1
笃近举远,51.1
釜底游鱼,51.1
诡秘莫测,51.1
妙言要道,51.1
明日黄花,51.1
袍笏登场,51.1
平淡无奇,51.1
日月交食,51.1
时不再来,51.1
水滴石穿,51.1
相安无事,51.1
言谈林薮,51.1
吹毛利刃,51.0
摧眉折腰,51.0
刀过竹解,51.0
东风人面,51.0
过犹不及,51.0
君子之交,51.0
考绩幽明,51.0
了身达命,51.0
群空冀北,51.0
身轻言微,51.0
诗情画意,51.0
听之任之,51.0
乌合之众,51.0
咬文嚼字,51.0
一表非凡,51.0
倚门倚闾,51.0
执而不化,51.0
周而不比,51.0
朱唇皓齿,51.0
傲雪欺霜,50.9
不差毫发,50.9
不即不离,50.9
惩前毖后,50.9
颠倒乾坤,50.9
黄梁一梦,50.9
开门揖盗,50.9
末路之难,50.9
前车之鉴,50.9
秦晋之好,50.9
琴瑟之好,50.9
一言九鼎,50.9
羽毛未丰,50.9
彰善瘅恶,50.9
安于现状,50.8
卑辞重币,50.8
布被瓦器,50.8
充耳不闻,50.8
蹉跎岁月,50.8
断雁孤鸿,50.8
公正廉明,50.8
及瓜而代,50.8
井底之蛙,50.8
良工心苦,50.8
名下无虚,50.8
人众胜天,50.8
时来运转,50.8
鼠目寸光,50.8
说短论长,50.8
铜墙铁壁,50.8
五光十色,50.8
献可替否,50.8
小手小脚,50.8
一笔勾销,50.8
异乎寻常,50.8
雨卧风餐,50.8
羽扇纶巾,50.8
不知其详,50.7
成龙配套,50.7
颠乾倒坤,50.7
膏梁子弟,50.7
画沙印泥,50.7
艰苦朴素,50.7
洁己奉公,50.7
进身之阶,50.7
踽踽独行,50.7
鸾凤和鸣,50.7
明德惟馨,50.7
牛骥同皂,50.7
凭几据杖,50.7
欺大压小,50.7
思患预防,50.7
想方设法,50.7
亚肩叠背,50.7
兵行诡道,50.6
屏气敛息,50.6
秉烛夜游,50.6
长途跋涉,50.6
甘苦与共,50.6
罗敷有夫,50.6
土龙刍狗,50.6
显而易见,50.6
蝇营狗苟,50.6
孳孳不倦,50.6
唱筹量沙,50.5
芳兰竟体,50.5
高高在上,50.5
龟龙片甲,50.5
解囊相助,50.5
精妙绝伦,50.5
劳师袭远,50.5
离心离德,50.5
前仆后继,50.5
学老于年,50.5
愤不欲生,50.4
化外之民,50.4
恢恢有余,50.4
讳疾忌医,50.4
喙长三尺,50.4
纪群之交,50.4
见异思迁,50.4
降贵纡尊,50.4
怒目而视,50.4
寝不安席,50.4
三言两语,50.4
十病九痛,50.4
先来后到,50.4
矮人看场,50.3
百龄眉寿,50.3
不谋而合,50.3
诽谤之木,50.3
口角春风,50.3
聊以解嘲,50.3
鸾孤凤只,50.3
七行俱下,50.3
日中则昃,50.3
寤寐求之,50.3
在劫难逃,50.3
助纣为虐,50.3
拔葵啖枣,50.2
背恩忘义,50.2
成家立业,50.2
封官许愿,50.2
合从连衡,50.2
金玉满堂,50.2
莫衷一是,50.2
凭轼结辙,50.2
恰到好处,50.2
倾盆大雨,50.2
伸头缩颈,50.2
一榻横陈,50.2
卓尔不群,50.2
韩卢逐块,50.1
急如星火,50.1
龙蟠虎踞,50.1
满腔热枕,50.1
如泣如诉,50.1
实获我心,50.1
树大招风,50.1
素隐行怪,50.1
遥遥相对,50.1
一瓣心香,50.1
坐言起行,50.1
栋梁之材,50.0
及宾有鱼,50.0
妙语解烦,50.0
莫可名状,50.0
如梦初醒,50.0
吮痈舐痔,50.0
一帆风顺,50.0
阪上走丸,40.0
病入膏肓,40.0
存亡未卜,40.0
道存目击,40.0
观过知仁,40.0
厚貌深情,40.0
话中有话,40.0
面如冠玉,40.0
轻装上阵,40.0
五月披裘,40.0
作舍道边,40.0
傲慢少礼,39.9
百折不挠,39.9
北风之恋,39.9
比物此志,39.9
博闻强识,39.9
补苴罅漏,39.9
戴月披星,39.9
道不拾遗,39.9
帝王将相,39.9
贩夫走卒,39.9
孤儿寡妇,39.9
绞尽脑汁,39.9
金汤之固,39.9
赖有此耳,39.9
名垂竹帛,39.9
被发文身,39.9
人财两空,39.9
声嘶力竭,39.9
探囊取物,39.9
心不在焉,39.9
凶神恶煞,39.9
旋乾转坤,39.9
遥遥领先,39.9
峥嵘岁月,39.9
珠宫贝阙,39.9
自暴自弃,39.9
作育人材,39.9
寸进尺退,39.8
大器晚成,39.8
抚景伤情,39.8
感遇忘身,39.8
孤掌难鸣,39.8
就汤下面,39.8
伉俪情深,39.8
日薄西山,39.8
山栖谷隐,39.8
顺藤摸瓜,39.8
碎琼乱玉,39.8
无忧无虑,39.8
惺惺作态,39.8
峣峣易缺,39.8
引商刻羽,39.8
狱货非宝,39.8
百不失一,39.7
抱恨黄泉,39.7
杯酒戈矛,39.7
变色易容,39.7
冰消瓦解,39.7
乘坚策肥,39.7
此伏彼起,39.7
攒眉蹙额,39.7
淡水交情,39.7
倒悬之危,39.7
地角天涯,39.7
反躬自省,39.7
更深夜静,39.7
海内无双,39.7
好肉剜疮,39.7
环堵萧然,39.7
机关用尽,39.7
疾如旋踵,39.7
兼程前进,39.7
剑戟森森,39.7
焦熬投石,39.7
诘戎治兵,39.7
克己奉公,39.7
胯下之辱,39.7
拉闲散闷,39.7
名山胜川,39.7
权衡轻重,39.7
犬马之劳,39.7
舌敝唇焦,39.7
述而不作,39.7
万目睽睽,39.7
息息相关,39.7
喜出望外,39.7
邂逅相遇,39.7
虚堂悬镜,39.7
幺麽小丑,39.7
疑事无功,39.7
宜室宜家,39.7
引而不发,39.7
自食其力,39.7
按名责实,39.6
傲睨一世,39.6
包罗万象,39.6
卑鄙无耻,39.6
兵强马壮,39.6
拨乱反正,39.6
大杖则走,39.6
低吟浅唱,39.6
鼎鼎大名,39.6
杜隙防微,39.6
非同儿戏,39.6
故宫禾黍,39.6
换斗移星,39.6
借花献佛,39.6
惊恐万状,39.6
举步生风,39.6
旷古未闻,39.6
落花流水,39.6
讷言敏行,39.6
翩翩少年,39.6
倾家荡产,39.6
茹毛饮血,39.6
寿元无量,39.6
威武不屈,39.6
寻死觅活,39.6
一步登天,39.6
一贫如洗,39.6
一如既往,39.6
引锥刺股,39.6
鸢飞鱼跃,39.6
张王赵李,39.6
白华之怨,39.5
白旄黄钺,39.5
白日升天,39.5
打草惊蛇,39.5
抚心自问,39.5
高屋建瓴,39.5
擐甲执兵,39.5
慌不择路,39.5
祸枣灾梨,39.5
驾轻就熟,39.5
尽力而为,39.5
门当户对,39.5
判若天渊,39.5
前所未闻,39.5
山高水低,39.5
深厉浅揭,39.5
四亭八当,39.5
韬光晦迹,39.5
一败涂地,39.5
饮冰内热,39.5
知一万毕,39.5
众难群移,39.5
左支右绌,39.5
安分守己,39.4
黯然失色,39.4
拔本塞源,39.4
弊车羸马,39.4
不易之论,39.4
粗枝大叶,39.4
寸草不留,39.4
德高望重,39.4
寡二少双,39.4
画饼充饥,39.4
回肠荡气,39.4
彗汜画涂,39.4
见缝插针,39.4
巾帼奇才,39.4
空口无凭,39.4
老有所终,39.4
马空冀北,39.4
匹夫无罪,39.4
贫病交加,39.4
山珍海错,39.4
四海为家,39.4
五颜六色,39.4
逍遥法外,39.4
休声美誉,39.4
移船就岸,39.4
缘木求鱼,39.4
正正之旗,39.4
捉襟见肘,39.4
安时处顺,39.3
闭月羞花,39.3
不因人热,39.3
淡泊明志,39.3
滴水成冰,39.3
恩甚怨生,39.3
好语如珠,39.3
河清难俟,39.3
后悔无及,39.3
见几而作,39.3
镌心铭骨,39.3
棋逢对手,39.3
仁言利博,39.3
如花似锦,39.3
三头对案,39.3
失之交臂,39.3
食不果腹,39.3
隋珠弹雀,39.3
万口一谈,39.3
惘然若失,39.3
一秉至公,39.3
应接不暇,39.3
瑜不掩瑕,39.3
鱼网鸿离,39.3
欲盖弥彰,39.3
云烟过眼,39.3
走马观花,39.3
不露圭角,39.2
春风和气,39.2
从天而降,39.2
风雪交加,39.2
甘棠遗爱,39.2
苟且偷安,39.2
鸿毛泰山,39.2
互通有无,39.2
互为表里,39.2
华屋山丘,39.2
马不停蹄,39.2
目不交睫,39.2
驱羊攻虎,39.2
天地经纬,39.2
调和鼎鼐,39.2
汪洋自恣,39.2
闲云野鹤,39.2
咸与维新,39.2
信笔涂鸦,39.2
一字一板,39.2
以文乱法,39.2
勇冠三军,39.2
整军经武,39.2
鞍马劳困,39.1
病民蛊国,39.1
并行不悖,39.1
不痴不聋,39.1
草行露宿,39.1
愁眉泪眼,39.1
大地回春,39.1
盗憎主人,39.1
分门别类,39.1
扶倾济弱,39.1
富国强兵,39.1
虎啸风生,39.1
娇生惯养,39.1
迥然不同,39.1
居安资深,39.1
名不副实,39.1
咆哮如雷,39.1
手挥目送,39.1
天打雷劈,39.1
一字连城,39.1
意气扬扬,39.1
源源而来,39.1
运斤成风,39.1
针锋相对,39.1
至亲骨肉,39.1
安贫乐贱,39.0
稗官野史,39.0
避而不谈,39.0
鞭辟入里,39.0
穿房入户,39.0
大声疾呼,39.0
啖以重利,39.0
蹈袭覆辙,39.0
非分之财,39.0
风鬟雾鬓,39.0
含沙射影,39.0
回头是岸,39.0
仅以身免,39.0
困心衡虑,39.0
门可罗雀,39.0
秣马厉兵,39.0
莫辨楮叶,39.0
南来北往,39.0
起承转合,39.0
弃邪归正,39.0
岁不我与,39.0
泰极而否,39.0
通都大邑,39.0
无伤大雅,39.0
洗心涤虑,39.0
衣冠楚楚,39.0
蚁封穴雨,39.0
以力服人,39.0
引以为戒,39.0
有一得一,39.0
智尽能索,39.0
昂首阔步,38.9
百废待举,38.9
百花齐放,38.9
悲喜交集,38.9
闭户读书,38.9
不宁唯是,38.9
大放悲声,38.9
杜鹃啼血,38.9
孤军作战,38.9
顾此失彼,38.9
继绝存亡,38.9
见所未见,38.9
拉三扯四,38.9
揽辔登车,38.9
立锥之地,38.9
令人作呕,38.9
落落大方,38.9
描写画角,38.9
民和年丰,38.9
片言只字,38.9
欺君罔上,38.9
迁怒于人,38.9
食而不化,38.9
随机应变,38.9
天涯海角,38.9
听而不闻,38.9
偷合苟容,38.9
鲜车怒马,38.9
小姑独处,38.9
形迹可疑,38.9
诈败佯输,38.9
知人善任,38.9
朱门绣户,38.9
罪加一等,38.9
才气过人,38.8
寸草不生,38.8
大树将军,38.8
拱手听命,38.8
鼓盆之戚,38.8
官仓老鼠,38.8
龟龙鳞凤,38.8
津津乐道,38.8
聚沙成塔,38.8
怜香惜玉,38.8
燎发摧枯,38.8
流离转徙,38.8
满盘皆输,38.8
蒙昧无知,38.8
目不识丁,38.8
披荆斩棘,38.8
匹夫有责,38.8
秋扇见捐,38.8
屈节辱命,38.8
去泰去甚,38.8
蜀锦吴绫,38.8
束手无策,38.8
天凝地闭,38.8
挟山超海,38.8
徐娘半老,38.8
烟视媚行,38.8
耀武扬威,38.8
野鹤闲云,38.8
夜以继日,38.8
一觞一咏,38.8
傲雪凌霜,38.7
表面文章,38.7
兵微将寡,38.7
长安道上,38.7
春风一度,38.7
砥砺风节,38.7
独出心裁,38.7
奋发有为,38.7
苟合取容,38.7
规行矩步,38.7
海枯见底,38.7
慷慨赴义,38.7
买田阳羡,38.7
孟母三迁,38.7
摸金校尉,38.7
鸟尽弓藏,38.7
搴旗斩将,38.7
人去楼空,38.7
山珍海味,38.7
实事求是,38.7
豕突狼奔,38.7
顺风驶船,38.7
倜傥不羁,38.7
天衣无缝,38.7
铁案如山,38.7
无所不有,38.7
物离乡贵,38.7
雅人深致,38.7
摇尾乞怜,38.7
一岁九迁,38.7
谊切苔岑,38.7
永垂不朽,38.7
作贼心虚,38.7
别具匠心,38.6
沉滓泛起,38.6
赤心报国,38.6
吊尔郎当,38.6
洞察一切,38.6
方兴未艾,38.6
革图易虑,38.6
狗血喷头,38.6
好梦不长,38.6
俊杰廉悍,38.6
烂若披锦,38.6
恋栈不去,38.6
量力度德,38.6
了不可见,38.6
被褐怀玉,38.6
千里同风,38.6
迁思回虑,38.6
切骨之仇,38.6
人命危浅,38.6
什伍东西,38.6
守望相助,38.6
痛哭流涕,38.6
外强中干,38.6
萎靡不振,38.6
文不加点,38.6
摇头摆尾,38.6
一板一眼,38.6
勇往直前,38.6
支吾其词,38.6
薄技在身,38.5
不可胜言,38.5
仓卒之际,38.5
荡析离居,38.5
而立之年,38.5
风鬟雨鬓,38.5
感恩图报,38.5
鹤鸣九皋,38.5
虎口逃生,38.5
集苑集枯,38.5
际地蟠天,38.5
旧愁新恨,38.5
连珠合璧,38.5
漏脯充饥,38.5
镂心刻骨,38.5
灭顶之灾,38.5
破釜沉舟,38.5
无情无义,38.5
下阪走丸,38.5
遗簪坠屦,38.5
渔人之利,38.5
赞不绝口,38.5
转战千里,38.5
作奸犯科,38.5
不可究诘,38.4
不生不灭,38.4
不徇私情,38.4
长揖不拜,38.4
尝胆卧薪,38.4
陈规陋习,38.4
处心积虑,38.4
摧陷廓清,38.4
打情骂俏,38.4
胆大心粗,38.4
风行水上,38.4
风云变幻,38.4
负屈衔冤,38.4
覆车之轨,38.4
高冠博带,38.4
公事公办,38.4
精金百炼,38.4
救火扬沸,38.4
决胜庙堂,38.4
看朱成碧,38.4
忍辱含羞,38.4
肉袒面缚,38.4
善游者溺,38.4
水性杨花,38.4
温故知新,38.4
邪魔外道,38.4
燕语莺啼,38.4
一傅众咻,38.4
一饮一啄,38.4
用夏变夷,38.4
余食赘行,38.4
郁郁葱葱,38.4
约法三章,38.4
云雾迷蒙,38.4
不可一世,38.3
词钝意虚,38.3
寸地尺天,38.3
浮文巧语,38.3
革带移孔,38.3
亘古未有,38.3
贯鱼之次,38.3
解疑释惑,38.3
决断如流,38.3
愧天怍人,38.3
来龙去脉,38.3
马耳东风,38.3
莫此为甚,38.3
暮夜怀金,38.3
年逾古稀,38.3
评头论足,38.3
燃眉之急,38.3
生公说法,38.3
酸甜苦辣,38.3
玩世不恭,38.3
香花供养,38.3
小家碧玉,38.3
心如刀割,38.3
形影相随,38.3
一钱如命,38.3
一切众生,38.3
以夷伐夷,38.3
音容宛在,38.3
在所难免,38.3
择主而事,38.3
指挥若定,38.3
众口难调,38.3
自生自灭,38.3
黯然销魂,38.2
暗箭难防,38.2
败鼓之皮,38.2
倍道而进,38.2
翠竹黄花,38.2
胆大包天,38.2
当风秉烛,38.2
东涂西抹,38.2
顿足不前,38.2
法轮常转,38.2
风云人物,38.2
攻苦食淡,38.2
恭贺新禧,38.2
佹得佹失,38.2
海屋添筹,38.2
和而不唱,38.2
急公近利,38.2
慨然允诺,38.2
立身处世,38.2
履霜之戒,38.2
平地楼台,38.2
裒多益寡,38.2
青红皂白,38.2
人心所向,38.2
丧家之犬,38.2
身心交瘁,38.2
势不可挡,38.2
舐皮论骨,38.2
天女散花,38.2
危急存亡,38.2
匣里龙吟,38.2
心甘情愿,38.2
野人献曝,38.2
忧心如焚,38.2
知我罪我,38.2
爱日惜力,38.1
背盟败约,38.1
持平之论,38.1
大名鼎鼎,38.1
调虎离山,38.1
翻江倒海,38.1
分内之事,38.1
改名换姓,38.1
共枝别干,38.1
豪情逸致,38.1
积德累仁,38.1
渐入佳境,38.1
经久不息,38.1
可乘之机,38.1
抠心挖肚,38.1
里应外合,38.1
卖李钻核,38.1
旁见侧出,38.1
披榛采兰,38.1
强奸民意,38.1
切齿腐心,38.1
事不师古,38.1
随乡入乡,38.1
吾膝如铁,38.1
物以类聚,38.1
匣剑帷灯,38.1
兴灭继绝,38.1
鹰瞵鹗视,38.1
安于一隅,38.0
猖獗一时,38.0
车水马龙,38.0
粗心大意,38.0
大发慈悲,38.0
大快人心,38.0
等而上之,38.0
丢卒保车,38.0
恶性循环,38.0
发引千钧,38.0
凤凰来仪,38.0
福无双至,38.0
寡凫单鹄,38.0
挂印悬牌,38.0
光风霁月,38.0
吉日良辰,38.0
金口木舌,38.0
举目千里,38.0
据理力争,38.0
兰艾难分,38.0
契若金兰,38.0
犬吠之警,38.0
人才济济,38.0
身体发肤,38.0
慎终如始,38.0
异途同归,38.0
元龙豪气,38.0
百代文宗,37.9
春和景明,37.9
大是大非,37.9
斗折蛇行,37.9
恩逾慈母,37.9
割襟之盟,37.9
钩心斗角,37.9
虎口拔牙,37.9
健步如飞,37.9
讲经说法,37.9
交相辉映,37.9
骄奢淫逸,37.9
嚼墨喷纸,37.9
刻肌刻骨,37.9
刻舟求剑,37.9
面面相觑,37.9
面如傅粉,37.9
穷途末路,37.9
森严壁垒,37.9
死求白赖,37.9
俟河之清,37.9
送故迎新,37.9
危在旦夕,37.9
问长问短,37.9
咸嘴淡舌,37.9
一隅三反,37.9
以汤止沸,37.9
引火烧身,37.9
稚齿婑媠,37.9
自崖而反,37.9
白眉赤眼,37.8
博览群书,37.8
豺狼之吻,37.8
楚腰纤细,37.8
风雨不透,37.8
国富兵强,37.8
和衷共济,37.8
毁家纾难,37.8
击节称赏,37.8
嫁祸于人,37.8
惊涛骇浪,37.8
孔席墨突,37.8
流连忘返,37.8
门无杂宾,37.8
破壁飞去,37.8
蒲柳之姿,37.8
乞哀告怜,37.8
日东月西,37.8
如出一辙,37.8
土豪劣绅,37.8
无所作为,37.8
贻人口实,37.8
以人为镜,37.8
在天之灵,37.8
棒打鸳鸯,37.7
春树暮云,37.7
地久天长,37.7
儿女心肠,37.7
辅车相依,37.7
黑天摸地,37.7
交淡若水,37.7
金鸡消息,37.7
客死他乡,37.7
冷若冰霜,37.7
扫除天下,37.7
时过境迁,37.7
挺身而出,37.7
通家之好,37.7
望眼欲穿,37.7
无可非议,37.7
隙大墙坏,37.7
象牙之塔,37.7
摇笔即来,37.7
与民更始,37.7
织当访婢,37.7
窒碍难行,37.7
朱衣使者,37.7
哀思如潮,37.6
百年难遇,37.6
淡而无味,37.6
负老携幼,37.6
富国安民,37.6
改邪归正,37.6
姑妄言之,37.6
瓜熟蒂落,37.6
观眉说眼,37.6
酣歌恒舞,37.6
荒时暴月,37.6
恍然大悟,37.6
家见户说,37.6
结草衔环,37.6
举国上下,37.6
空话连篇,37.6
露宿风餐,37.6
乱世英雄,37.6
名不虚传,37.6
明月清风,37.6
乃心王室,37.6
请君入瓮,37.6
屈指可数,37.6
群龙无首,37.6
思贤如渴,37.6
随踵而至,37.6
贪心不足,37.6
偷工减料,37.6
挖耳当招,37.6
纬武经文,37.6
五花八门,37.6
野无遗贤,37.6
云谲波诡,37.6
表里为奸,37.5
不臣之心,37.5
不负众望,37.5
不赏之功,37.5
不祥之兆,37.5
草莽英雄,37.5
倡而不和,37.5
持筹握算,37.5
臭名昭著,37.5
初写黄庭,37.5
春风得意,37.5
寸土不让,37.5
大本大宗,37.5
登峰造极,37.5
斗酒只鸡,37.5
端本正源,37.5
古为今用,37.5
关心民瘼,37.5
豁达大度,37.5
假公济私,37.5
兼收并蓄,37.5
葵藿倾阳,37.5
难能可贵,37.5
迫在眉睫,37.5
生老病死,37.5
天花乱坠,37.5
兴风作浪,37.5
行不由径,37.5
悬悬而望,37.5
冶叶倡条,37.5
夜长梦多,37.5
一家之言,37.5
浊泾清渭,37.5
罪大恶极,37.5
拔茅连茹,37.4
不食周粟,37.4
椎心泣血,37.4
东奔西走,37.4
返我初服,37.4
烽火四起,37.4
风云突变,37.4
高卧东山,37.4
急公好义,37.4
惊天动地,37.4
经史百子,37.4
茅塞顿开,37.4
砌词捏控,37.4
气焰熏天,37.4
青紫被体,37.4
深恶痛绝,37.4
水秀山明,37.4
思前想后,37.4
螳臂当车,37.4
头角峥嵘,37.4
围魏救赵,37.4
畏葸不前,37.4
温情脉脉,37.4
音容笑貌,37.4
语妙天下,37.4
渊鱼丛雀,37.4
只轮无反,37.4
罪不容诛,37.4
抱令守律,37.3
不疾不徐,37.3
长生不死,37.3
惩一儆百,37.3
触类旁通,37.3
大计小用,37.3
斗升之水,37.3
堆山积海,37.3
风木含悲,37.3
覆盆之冤,37.3
狗吠非主,37.3
告朔饩羊,37.3
过河卒子,37.3
慧业文人,37.3
将机就机,37.3
救火投薪,37.3
口燥唇干,37.3
枯燥无味,37.3
乱点鸳鸯,37.3
判若两人,37.3
七日来复,37.3
识途老马,37.3
四脚朝天,37.3
望秋先零,37.3
屋乌之爱,37.3
休养生息,37.3
朽木死灰,37.3
一概而论,37.3
一身两役,37.3
玉润珠圆,37.3
必争之地,37.2
摽梅之年,37.2
不白之冤,37.2
不堪入目,37.2
藏龙卧虎,37.2
聪明才智,37.2
戴圆履方,37.2
灯火辉煌,37.2
东南雀飞,37.2
独出机杼,37.2
断章摘句,37.2
夫子自道,37.2
鸿儒硕学,37.2
胡思乱想,37.2
活灵活现,37.2
祸福倚伏,37.2
巾帼英雄,37.2
乐道安贫,37.2
裂石穿云,37.2
名满天下,37.2
明白了当,37.2
青史传名,37.2
身怀六甲,37.2
十拿九稳,37.2
丝竹管弦,37.2
大璞不完,37.2
童牛角马,37.2
祥麟威凤,37.2
烟消云散,37.2
一落千丈,37.2
以管窥天,37.2
阴谋诡计,37.2
运用自如,37.2
昂藏七尺,37.1
不茶不饭,37.1
不知所措,37.1
材大难用,37.1
长安棋局,37.1
宠辱若惊,37.1
奉公守法,37.1
个中滋味,37.1
诲人不倦,37.1
激忿填膺,37.1
精金良玉,37.1
开门见山,37.1
穷年累月,37.1
夙兴夜寐,37.1
腾蛟起凤,37.1
五鬼闹判,37.1
薰莸同器,37.1
永生永世,37.1
沾亲带故,37.1
斩草除根,37.1
宝山空回,37.0
草薙禽狝,37.0
沉潜刚克,37.0
戴罪立功,37.0
放饭流歠,37.0
高文典册,37.0
横眉竖眼,37.0
计功补过,37.0
家道从容,37.0
见兔顾犬,37.0
久经风霜,37.0
看风使舵,37.0
口出不逊,37.0
哭笑不得,37.0
来者不拒,37.0
辽东白豕,37.0
乔龙画虎,37.0
青钱万选,37.0
穷寇勿追,37.0
人心归向,37.0
山木自寇,37.0
十之八九,37.0
竖起脊梁,37.0
偷安旦夕,37.0
图财害命,37.0
望衡对宇,37.0
习焉不察,37.0
心烦意乱,37.0
掩口葫芦,37.0
宴尔新婚,37.0
扬葩振藻,37.0
一日九迁,37.0
一以贯之,37.0
允执其中,37.0
簪缨世胄,37.0
朝夕相处,37.0
肘腋之患,37.0
白眼相看,36.9
喘息之间,36.9
淡汝浓抹,36.9
刁斗森严,36.9
多口阿师,36.9
发号施令,36.9
俯拾即是,36.9
高视阔步,36.9
高掌远蹠,36.9
钩深致远,36.9
狐假虎威,36.9
虎头虎脑,36.9
回光返照,36.9
季路一言,36.9
见兔放鹰,36.9
慷慨激扬,36.9
鹿裘不完,36.9
拿刀动杖,36.9
欺三瞒四,36.9
千呼万唤,36.9
巧舌如簧,36.9
秋水伊人,36.9
如拾地芥,36.9
身经百战,36.9
诗礼之训,36.9
首尾相应,36.9
手舞足蹈,36.9
四海波静,36.9
四衢八街,36.9
烜赫一时,36.9
饮水啜菽,36.9
暧昧之情,36.8
拔山超海,36.8
勃然大怒,36.8
博士买驴,36.8
不折不扣,36.8
踔厉风发,36.8
得寸进尺,36.8
斗而铸锥,36.8
翻箱倒柜,36.8
风起云蒸,36.8
瘠己肥人,36.8
娇小玲珑,36.8
美人香草,36.8
蒙以养正,36.8
情同骨肉,36.8
寿山福海,36.8
嗒然若丧,36.8
无噍类矣,36.8
无事生非,36.8
心猿意马,36.8
因公假私,36.8
凿饮耕食,36.8
招架不住,36.8
至圣先师,36.8
百发百中,36.7
不蔓不枝,36.7
辞多受少,36.7
聪明伶俐,36.7
东郭先生,36.7
海誓山盟,36.7
鸡犬不惊,36.7
监守自盗,36.7
捷报频传,36.7
敬若神明,36.7
酒有别肠,36.7
开国功臣,36.7
铿镪顿挫,36.7
罗掘一空,36.7
铺天盖地,36.7
拳打脚踢,36.7
顺风而呼,36.7
铜琶铁板,36.7
熏陶成性,36.7
掩目捕雀,36.7
用舍行藏,36.7
源清流洁,36.7
坐视不救,36.7
抃风舞润,36.6
虫鱼之学,36.6
大书特书,36.6
得意门生,36.6
掇拾章句,36.6
方头不劣,36.6
匪伊朝夕,36.6
焚书坑儒,36.6
粉白黛绿,36.6
风尘之变,36.6
庚癸频呼,36.6
篝火狐鸣,36.6
贵古贱今,36.6
鸡飞蛋打,36.6
及锋而试,36.6
见弹求鸮,36.6
结党营私,36.6
今非昔比,36.6
经天纬地,36.6
料敌制胜,36.6
摩厉以须,36.6
凭虚公子,36.6
耍嘴皮子,36.6
水米无交,36.6
替天行道,36.6
无时无刻,36.6
习与性成,36.6
枵腹从公,36.6
一簧两舌,36.6
一身是胆,36.6
蝇头微利,36.6
悦近来远,36.6
朝思暮想,36.6
壮士解腕,36.6
按甲寝兵,36.5
别风淮雨,36.5
踔绝之能,36.5
呆头呆脑,36.5
道旁苦李,36.5
耳目一新,36.5
傅粉施朱,36.5
感人肺腑,36.5
各自为战,36.5
黄耳传书,36.5
火冒三丈,36.5
坚韧不拔,36.5
截然不同,36.5
明珠弹雀,36.5
能者多劳,36.5
入井望天,36.5
始终如一,36.5
水火之中,36.5
文从字顺,36.5
现身说法,36.5
象箸玉杯,36.5
学无止境,36.5
一蹶不振,36.5
因事制宜,36.5
纡朱怀金,36.5
雨过天晴,36.5
云消雨散,36.5
左思右想,36.5
白面书生,36.4
百年偕老,36.4
别具只眼,36.4
步履维艰,36.4
尺布斗粟,36.4
粗服乱头,36.4
大江东去,36.4
等因奉此,36.4
低眉垂眼,36.4
洞见症结,36.4
攻城略地,36.4
和颜悦色,36.4
积忧成疾,36.4
来日方长,36.4
锒铛入狱,36.4
浪子回头,36.4
良莠不齐,36.4
买椟还珠,36.4
年谊世好,36.4
将伯之助,36.4
禽困覆车,36.4
倾巢出动,36.4
秋高气爽,36.4
全无心肝,36.4
乳臭未干,36.4
善与人交,36.4
为好成歉,36.4
无依无靠,36.4
先入之见,36.4
玄酒瓠脯,36.4
寻花问柳,36.4
药店飞龙,36.4
一日之雅,36.4
一手托天,36.4
以蚓投鱼,36.4
张灯结彩,36.4
朝穿暮塞,36.4
中流砥柱,36.4
着手成春,36.4
苍翠欲滴,36.3
断手续玉,36.3
风平浪静,36.3
风雨凄凄,36.3
鹤唳华亭,36.3
鸡皮鹤发,36.3
剑树刀山,36.3
江东父老,36.3
鸠形鹄面,36.3
开云见日,36.3
历历可数,36.3
廉泉让水,36.3
临渊羡鱼,36.3
美女簪花,36.3
宁死不屈,36.3
牛溲马勃,36.3
亲如骨肉,36.3
寝苫枕块,36.3
荣谐伉俪,36.3
绳床瓦灶,36.3
尸居余气,36.3
搜岩采干,36.3
挑雪填井,36.3
推贤让能,36.3
完美无缺,36.3
汪洋大海,36.3
无遮大会,36.3
夏炉冬扇,36.3
腰缠万贯,36.3
一薰一莸,36.3
夤缘攀附,36.3
凿空之论,36.3
白衣秀士,36.2
百年树人,36.2
不知世务,36.2
打闷葫芦,36.2
风吹草动,36.2
瑰意琦行,36.2
行号巷哭,36.2
厚古薄今,36.2
黄发垂髫,36.2
灰心槁形,36.2
结不解缘,36.2
夸大其词,36.2
切肤之痛,36.2
食不甘味,36.2
驷不及舌,36.2
无济于事,36.2
无庸赘述,36.2
学浅才疏,36.2
有加无已,36.2
有闻必录,36.2
芝兰玉树,36.2
兹事体大,36.2
坐以待毙,36.2
勃然奋励,36.1
惝恍迷离,36.1
沉鱼落雁,36.1
刺股悬梁,36.1
东征西讨,36.1
独到之处,36.1
