成语,常用度分数
绝世独立,88.4
立竿见影,88.4
靦颜人世,88.4
同堂兄弟,88.4
诪张为幻,88.4
参差不齐,88.3
含垢忍辱,88.3
祸福相生,88.3
仗义疏财,88.3
百步穿杨,88.2
初露锋芒,88.2
粗衣粝食,88.2
达权知变,88.2
顿足捶胸,88.2
浮生若梦,88.2
俯首帖耳,88.2
格物致知,88.2
蕙心兰质,88.2
火烧火燎,88.2
老牛破车,88.2
萍飘蓬转,88.2
天长地久,88.2
头上安头,88.2
瞻云就日,88.2
诛锄异己,88.2
安身之处,88.1
白日见鬼,88.1
长生久视,88.1
法不阿贵,88.1
风花雪月,88.1
好丹非素,88.1
鸿毳沉舟,88.1
面面俱到,88.1
闻所未闻,88.1
星旗电戟,88.1
抱诚守真,88.0
单鹄寡凫,88.0
东摇西摆,88.0
风靡一时,88.0
功败垂成,88.0
国士无双,88.0
和风细雨,88.0
毁誉不一,88.0
克绍箕裘,88.0
空洞无物,88.0
声势浩大,88.0
天高听卑,88.0
纹丝不动,88.0
严惩不贷,88.0
以一奉百,88.0
用尽心机,88.0
有伤风化,88.0
愚夫愚妇,88.0
晕头转向,88.0
藏器待时,87.9
红颜薄命,87.9
襟怀磊落,87.9
被发左衽,87.9
强而后可,87.9
群轻折轴,87.9
谓予不信,87.9
正襟危坐,87.9
八拜之交,87.8
臣心如水,87.8
明眸善睐,87.8
心旷神怡,87.8
一长一短,87.8
因势利导,87.8
闭门投辖,87.7
不值一钱,87.7
粉墨登场,87.7
福慧双修,87.7
还淳返朴,87.7
炯炯有神,87.7
屈打成招,87.7
如不胜衣,87.7
声闻过情,87.7
爽然若失,87.7
似水流年,87.7
停妻再娶,87.7
同门异户,87.7
屯粮积草,87.7
悬旌万里,87.7
擢发难数,87.7
不出所料,87.6
肝胆过人,87.6
高人雅士,87.6
顾犬补牢,87.6
进退维谷,87.6
鸠集凤池,87.6
两虎相斗,87.6
千载难逢,87.6
清夜扪心,87.6
轻举远游,87.6
葑菲之采,87.5
孤犊触乳,87.5
绝无仅有,87.5
脍炙人口,87.5
麟角凤距,87.5
流言蜚语,87.5
黍离麦秀,87.5
无偏无党,87.5
不齿于人,87.4
不足为训,87.4
打马虎眼,87.4
金貂换酒,87.4
琴断朱弦,87.4
铁壁铜墙,87.4
相濡以沫,87.4
严刑峻法,87.4
草长莺飞,87.3
高翔远引,87.3
好大喜功,87.3
横蛮无理,87.3
九九归一,87.3
琵琶别抱,87.3
气象万千,87.3
神号鬼哭,87.3
袒胸露背,87.3
填街塞巷,87.3
望尘而拜,87.3
众好众恶,87.3
掂斤播两,87.2
断长续短,87.2
海阔天空,87.2
后车之戒,87.2
龙跃凤鸣,87.2
若明若暗,87.2
坦腹东床,87.2
天理昭彰,87.2
游辞巧饰,87.2
朝经暮史,87.2
陂湖禀量,87.1
疾言遽色,87.1
急于星火,87.1
徒子徒孙,87.1
未卜先知,87.1
学究天人,87.1
雁杳鱼沉,87.1
一张一弛,87.1
餐风沐雨,87.0
分寸之末,87.0
孤陋寡闻,87.0
陆海潘江,87.0
判若云泥,87.0
雄飞雌伏,87.0
悬崖峭壁,87.0
一触即溃,87.0
一了百了,87.0
不知肉味,86.9
唇齿相依,86.9
动魄惊心,86.9
患难之交,86.9
济世安邦,86.9
木本水源,86.9
爬罗剔抉,86.9
席卷天下,86.9
财运亨通,86.8
聪明正直,86.8
福寿齐天,86.8
六朝金粉,86.8
木已成舟,86.8
七上八下,86.8
唐哉皇哉,86.8
天随人愿,86.8
天下汹汹,86.8
图谋不轨,86.8
抑郁寡欢,86.8
捶胸顿足,86.7
抖擞精神,86.7
虎入羊群,86.7
悔不当初,86.7
祸起萧墙,86.7
见机行事,86.7
力能扛鼎,86.7
溜之大吉,86.7
胜残去杀,86.7
守正不挠,86.7
亡国之音,86.7
萧规曹随,86.7
